Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
229,11,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,protected time for clerkship responsibilities,1,0,8,Industry trials,,,1,Regional,,30,"Institutional,Local,Regional,National",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Share equally,Share equally,Share equally,Partner does more,Share equally,Sometimes,,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,Once per month or less,Once per month or less,Once per month or less,A few times per week,Once per month or less,Never,Once per week
230,13,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,2,Vice chair,1,5,0,,,,0,,,4,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Often,,No,Prefer to not answer,,,,,,,,,,,
231,11,Man,White,Married,Tenure Track,,Yes,4,University Senate Committee Chair,6,10,29,"NIH grants,Institutional grants,Foundational grants,Industry trials",,$5M,29,"Institutional,Regional,National",,94,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Agree (5),Share equally,Other caregiver,Share equally,Share equally,I do more,Rarely,Increasing time deadlines for everything and increasing mandates such as compliance training etc. decreases flexibility of core work schedule.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per year,Never,Never,Every day,A few times per year,Never,Every day
232,11,Woman,Asian,Married,Academic Track - Research,,No,,,1,4,2,"NIH grants,Institutional grants",,"$100,000/year x 2 year (internal grant)",2,"Institutional,National,Other: {levelawardetc}","1 institutional grant, 1 NIH Loan Repayment Program award",4,"Institutional,Regional",,Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Agree (5),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Often,"Meetings that are after hours (5pm or later, or sometimes before 7am) cuts into family / personal time. Work deadlines sometimes requires after hours work. ",Yes,,Always feel rushed,4 Very burned out,A few times per week,Once per month or less,A few times per month,A few times per month,Once per month or less,Once per week,A few times per month,Once per month or less,Once per month or less
233,18,Woman,White,Single,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research",,No,,,2,4,0,,,,0,,,0,,,Disagree (3),Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Sometimes,,No,Prefer to not answer,,,,,,,,,,,
234,18,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,10,Vice section head- clinical operations,2,1,6,"NIH grants,Institutional grants,Not-for-profit organizational grants,Other: {sourceetc}","pilot projects, others mostly site PI, low funding","20,000",1,Institutional,,21,"Institutional,Local,Regional,National,International",,Disagree (3),Neither Agree or Disagree (4),Very Strongly Disagree (1),Agree (5),Very Strongly Disagree (1),Agree (5),Partner does more,Partner does more,I do more,I do more,Share equally,Sometimes,family would prefer I put away all work related things at home. split attention between email/ pager and family,Yes,,Always feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per week,A few times per month,A few times per year,Once per week,Never,Never,A few times per year
235,18,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,10 PERCENT,2,2,0,,,,1,Institutional,,30,"Local,Regional,National,International",,Agree (5),Strongly Agree (6),Neither Agree or Disagree (4),Agree (5),Strongly Agree (6),Neither Agree or Disagree (4),,,,,,Often,Too many hours. Lack of professional fulfillment.,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,A few times per year,A few times per month,Once per month or less,A few times per year,A few times per month,A few times per month,A few times per year,Every day
236,18,Woman,White,"Single,Divorced","Clinician Track (clinical appointment with no academic appointment),Unpaid Academic Appointment (eg, adjunct, affiliate)",,Yes,1,Not incentivized - Medical Director ,0,,0,,,,0,,,2,Institutional,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),N/A,,,,,,Often,"Often I adjust my social/family/home schedule around other people's calendar at work because I technically have that time ""available"" in order to expedite getting things done. This prevents travel and strains my social support system and additionally is uncompensated. ",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,A few times per week,A few times per week,A few times per year,Every day,Once per week,Never,Every day
238,18,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,No,,,10,9,10,"NIH grants,Not-for-profit organizational grants,Industry trials",,"2,000,000",8,"Institutional,National,International",,30,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Disagree (3),Other caregiver,Share equally,Other caregiver,Other caregiver,Other caregiver,Rarely,Inpatient coverage on weekends,No,Survey fatigue,,,,,,,,,,,
239,11,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Non-Tenure",,Yes,1,Assistant program director,0,,0,,,,0,,,1,Institutional,,Agree (5),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Very Strongly Agree (7),Share equally,Partner does more,Share equally,I do more,Share equally,Often,"I do work every night from the time my son goes to bed until the time I go to bed, which leaves no time for anything else. My husband and I both take call, so six weeks a year we are not available. I often feel stressed or exhausted after work and not fully available to my family. ",Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Once per week,A few times per week,A few times per month,A few times per week,A few times per month,A few times per week,Once per month or less,Once per month or less
240,18,Woman,White,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,5,director of division,2,30,2,"NIH grants,Institutional grants,Foundational grants,Medical societies,Industry trials,Other: {sourceetc}",VA CSP,5 million,12,"Institutional,Regional,National",,100,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Agree (5),Disagree (3),Neither Agree or Disagree (4),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Rarely,,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,Never,A few times per year,A few times per year,Never,A few times per week,A few times per year,Never,A few times per month
241,18,Woman,White,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,5,,2,30,2,"NIH grants,Institutional grants,Foundational grants,Medical societies,Industry trials,Other: {sourceetc}",VA CSP,5 million,12,"Institutional,Regional,National",,100,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Agree (5),Disagree (3),Neither Agree or Disagree (4),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Rarely,,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,Never,A few times per year,A few times per year,Never,A few times per week,A few times per year,Never,A few times per month
243,18,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Section Head,5,1,12,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,$2M,2,"Institutional,Regional",,22,"Institutional,Local,Regional,National",,Disagree (3),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Strongly Disagree (2),Strongly Agree (6),I do more,I do more,Partner does more,I do more,Share equally,Sometimes,Doing work on vacation; answering calls when at home or away with family; tired so don't want to go out as much,No,Survey fatigue,,,,,,,,,,,
245,18,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,associate program director,0,,0,,,,0,,,1,National,,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Disagree (3),Disagree (3),Share equally,Share equally,I do more,I do more,Share equally,Often, I would do more social activities if I weren't so tired from work or have so much work to catch up on on the weekends.  Work interferes with my self-care i.e. my ability to work-out in the mornings.  Sometimes I do not make doctor appointments because I feel like I don't have time to take from work. ,Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,A few times per year,Once per month or less,Never,A few times per week,A few times per week,Never,A few times per year
246,18,Woman,Black or African American,Widowed,Other: {trackmisc},Adm,No,,,0,,0,,,,0,,,0,,,N/A,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Neither Agree or Disagree (4),,,,,,Sometimes,When we have fundraising events. It may take some of my personal time,Yes,,Almost never feel rushed,1 Not at all burned out,Never,Never,Never,A few times per year,Never,Every day,Never,Never,Never
247,11,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,2,none,0.8,2,0,,,,0,,,9,"Institutional,Local,Regional",,Agree (5),Agree (5),Strongly Agree (6),Agree (5),Neither Agree or Disagree (4),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Often,"missing events, parties or distracting me from them when on call. Suffer from need to work this job and other parttime to account for student loans, unlike what seems like half my colleagues ",Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per month,A few times per week,A few times per month,A few times per month,A few times per week,A few times per week,A few times per year,Once per week
248,18,Man,Prefer not to say,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,3,0,,,,0,,,8,"Regional,National",,Strongly Agree (6),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Neither Agree or Disagree (4),I do more,I do more,I do more,I do more,I do more,Always,i always have to put my career at the backburner to take care of family responsibilities,Yes,,Always feel rushed,4 Very burned out,Every day,Never,A few times per week,A few times per week,Never,A few times per month,A few times per week,Never,Every day
249,18,Woman,White,Married,Other: {trackmisc},Project Manager,No,,,0,,0,,,,0,,,0,,,Strongly Agree (6),Very Strongly Disagree (1),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),,,,,,Sometimes,,No,Prefer to not answer,,,,,,,,,,,
250,11,Man,White,Married,Tenure Track,,Yes,5,4,9,27,55,"Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,"$360,000 ",9,"Institutional,Regional,National",,100,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Strongly Disagree (2),,,,,,Rarely,Not as much time for family/friends as I would ideally like,No,Already answered in a previous burnout survey,,,,,,,,,,,
251,3,Man,White,Married,Academic Track - Research,,Yes,20,McKnight Endowed Chair,7,20,30,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,7.5 Million,10,"Institutional,National",,100,"Institutional,Regional,National",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Disagree (3),,,,,,Rarely,,No,Survey fatigue,,,,,,,,,,,
252,13,Man,White,Married,"Clinician Track (clinical appointment with no academic appointment),Non-Tenure",,Yes,1,medical director,0,,0,,,,0,,,1,Local,,Agree (5),Strongly Disagree (2),Agree (5),Agree (5),Neither Agree or Disagree (4),Agree (5),,,,,,Rarely,Long days at work limit my ability to enjoy time off at home,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,Never,A few times per year,A few times per year,Never,Every day,A few times per year,Never,A few times per week
253,11,Man,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,Program director,15,10,2,Industry trials,,None,5,"Institutional,National",,2,Institutional,,Agree (5),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Share equally,Share equally,Share equally,Partner does more,Share equally,Never,,No,Survey fatigue,,,,,,,,,,,
254,11,Man,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,No,,,0,,0,,,,0,,,3,National,,Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Strongly Disagree (2),Very Strongly Disagree (1),Strongly Disagree (2),,,,,,Rarely,,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,Never,A few times per year,Never,Never,Every day,A few times per year,Never,A few times per week
255,13,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Clinic Medical Director,0.5,2,0,,,,4,"Institutional,Regional,National",,4,"Institutional,Regional,National",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Partner does more,Partner does more,I do more,Partner does more,Share equally,Often,charting every evening makes it difficult to have meaningful time with my husband and children,Yes,,Always feel rushed,4 Very burned out,A few times per week,A few times per month,Every day,Every day,Once per week,Once per month or less,Once per week,A few times per year,A few times per year
256,18,Woman,White,Married,Academic Track - Research,,Yes,5,Comprehensive Stroke Center Director,10,12,27,"NIH grants,Institutional grants,Not-for-profit organizational grants,Medical societies,Industry trials",,$30 million,27,"Institutional,National,International",,150,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Often,Being on call on weekends for telestroke limits ability to get away from home.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per month,Once per month or less,A few times per year,A few times per week,Never,Never,A few times per week
257,11,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0.2,1,1,Institutional grants,,5000,1,Institutional,,2,Regional,,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Disagree (1),I do more,I do more,I do more,I do more,Partner does more,Often,"On average - 70 days of overnight call, 10 weekends of inpatient responsibilities without any time off for the weekends and evenings worked. ",Yes,,Always feel rushed,4 Very burned out,Every day,Never,Every day,A few times per week,Never,A few times per week,A few times per week,Never,A few times per month
258,18,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research,Non-Tenure",,Yes,7,fellowship director,2.5,9,4,"NIH grants,Institutional grants,Foundational grants",,"$470,000 ",6,"Institutional,National",,24,"Institutional,Regional,National",,Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Neither Agree or Disagree (4),Strongly Agree (6),,,,,,Sometimes,grant deadlines and busy clinical service times exclude me from some personal activities,Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,A few times per year,A few times per year,Once per month or less,A few times per year,Every day,A few times per year,Never,Once per week
259,11,Woman,White,Divorced,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,No,,,1,5,6,"NIH grants,Not-for-profit organizational grants,Industry trials",,5000,2,"Institutional,National",,50,"Institutional,Local,Regional,National,International",,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),,,,,,Always,"Work life is so constant there is little time for personal life. FYI the questions above do not relate to older female faculty whose children are grown and out of the house and who may be divorced.  In fact, the divorce rate among faculty women and re-marriage rate would be interesting statistics in itself.  I suspect the former is high while the latter is low, ",Yes,,Always feel rushed,3 Moderately burned out,A few times per week,A few times per year,Every day,A few times per month,A few times per year,Every day,Never,Never,Once per month or less
260,,Woman,Prefer not to say,Married,Non-Tenure,,Yes,3,,2,15,40,"Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,,3,"Institutional,Local,National",,50,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),,,,,,Always,"Very frequently on call,  night calls interfere with sleep schedule and energy level during the day, interferes with academic productivity and family life  constant bombardment by messages via email, phone, text, EMR messaging.....  Constant increase in clinical duties  Private calendars are almost completely determined by professional duties and call schedules",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,A few times per week,Once per week,Once per week,A few times per week,Once per week,Never,Once per week
261,13,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,10% clinical time,0,,0,,,,0,,,0,,,Agree (5),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Share equally,Partner does more,I do more,I do more,I do more,Sometimes,"Completing work at home. Limited time to relax with family, working weekends and through daytime events.",No,Survey fatigue,,,,,,,,,,,
262,,Woman,White,Married,Non-Tenure,,Yes,3,several,2,16,50,"Institutional grants,Not-for-profit organizational grants,Foundational grants,Medical societies,Industry trials",,,4,"Institutional,Local,Regional,National",,80,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),I do more,I do more,I do more,I do more,I do more,Always,"frequently on call.  frequently on telemedicine call.  Constant interference form calls, pager, text apps, EMR messages....  My work calendar determines my personal calendar",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,Once per week,Once per week,Once per week,A few times per week,Once per week,Never,A few times per month
263,10,Man,White,Married,Tenure Track,,Yes,2,Clinical Director,7,25,3,"NIH grants,Institutional grants",,,1,Institutional,,15,"Regional,National,International",,Strongly Agree (6),Neither Agree or Disagree (4),Agree (5),Disagree (3),Neither Agree or Disagree (4),Disagree (3),I do more,I do more,I do more,Share equally,I do more,Often,Severe burn out in 2020 and early 2021.,Yes,,Always feel rushed,2 Slightly burned out,Every day,Never,Never,A few times per month,Never,A few times per month,Never,Never,A few times per month
264,10,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Tenure Track",,Yes,2,Medical Director,15,8,3,NIH grants,,85000,12,"Institutional,Regional,National",,24,"Regional,National",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Strongly Agree (6),Share equally,Share equally,I do more,I do more,Share equally,Always,"Constantly being paged via my personal phone, notes during after hours, phone calls from nurses, medical assistants, being on call every few weeks, weekend call burdened by taking stroke call even though I am a subspecialist",Yes,,Always feel rushed,2 Slightly burned out,Every day,A few times per week,Every day,Every day,Once per week,Every day,Every day,Once per month or less,Once per week
265,10,Woman,White,Married,Academic Track - Research,,Yes,2,Chief of Neurology (VA Medical Center),5,3,42,"NIH grants,Institutional grants,Industry trials,Other: {sourceetc}",VHA,$6 million (over 5 years),57,"Institutional,National",,25,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Strongly Disagree (2),Disagree (3),,,,,,Rarely,"Clinical duties/on call requirements impact ability to socialize, travel, etc.",Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Once per month or less,A few times per month,A few times per year,Once per month or less,A few times per week,Once per month or less,Never,Once per week
266,10,Man,White,Married,Academic Track - Research,,Yes,2,I don't think it was ever incentivized.,7,3,1,Other: {sourceetc},VA,"About $1,000,000",0,,,6,"Institutional,Regional,International",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),Agree (5),Strongly Disagree (2),Partner does more,Does not apply,Partner does more,Partner does more,Share equally,Sometimes,"Most of the time I procrastinate with work-related things to manage home life, but sometimes I just have to put in some extra work time. The kids don't seem to care, but it causes problems with my spouse. There's just never enough time. Recently I took one day off to take the kids somewhere. On the off day, but prior to actually leaving on the trip, I caught up on Cerner messages. It took 45-60 minutes and I was really glad I did it, but my spouse was chapped. ",No,Survey fatigue,,,,,,,,,,,
267,10,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,2,"Institutional grants,Industry trials",,,0,,,4,"Institutional,Regional",,Neither Agree or Disagree (4),Agree (5),Agree (5),Agree (5),Agree (5),Strongly Agree (6),,,,,,Sometimes,working long hours or work continuing from home,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,Once per week,A few times per month,Once per month or less,A few times per week,A few times per month,Never,A few times per week
268,6,Woman,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,1,4,5,18,"Foundational grants,Industry trials",,1'000.000,0,,,20,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),I do more,Other caregiver,Share equally,I do more,I do more,Always,Constant pressure to perform as a private practitioner and academician at the same time,Yes,,Always feel rushed,5 Completely burned out,Every day,Never,Every day,Every day,A few times per month,Every day,A few times per week,Never,Once per week
269,6,Woman,White,Married,Academic Track - Teaching,,Yes,1,0,1,3,0,,,,1,Institutional,,0,,,Strongly Agree (6),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Disagree (1),Partner does more,Partner does more,I do more,I do more,I do more,Often,"I need to answer inbox messages, draft manuscripts, fill out evaluations after children are asleep every weeknight and at least one weekend night every week. I have always been very efficient, and have had multiple observers (boss plus trainees) mention my efficiency at work. ",Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per month,A few times per month,A few times per year,Every day,A few times per year,A few times per year,Every day
270,3,Man,White,Single,"Academic Track - Research,Tenure Track",,Yes,2,Title for the tenure and promotion process,4,4,6,"NIH grants,Foundational grants,Other: {sourceetc}",Pharma/Biotech Sponsored Research Grants,$1.35 million,6,"Institutional,National",,7,"Institutional,Regional,National,International",,Agree (5),Agree (5),Strongly Agree (6),Neither Agree or Disagree (4),Agree (5),Strongly Agree (6),,,,,,Sometimes,Time conflicts.,Yes,,Always feel rushed,3 Moderately burned out,A few times per month,A few times per month,A few times per month,A few times per month,A few times per year,A few times per week,A few times per month,Never,A few times per month
271,15,Man,Hispanic/Latino,Married,Clinician Track (clinical appointment with no academic appointment),,Yes,1,None,0,,2,NIH grants,,"$300,000 ",0,,,0,,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),,,,,,Often,,No,Prefer to not answer,,,,,,,,,,,
272,3,Man,Asian,Married,Tenure Track,,Yes,2,Neuroscience Module Director,1,2,10,"Not-for-profit organizational grants,Industry trials",,,0,,,25,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Partner does more,Partner does more,Share equally,Partner does more,Share equally,Rarely,"Impedes social interaction, limits time for engagement with family",Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,Once per week,Once per week,A few times per week,Once per week,Every day,Never,Never,A few times per week
273,3,Woman,Asian,Married,"Clinician Track (clinical appointment with no academic appointment),Non-Tenure",,No,,,5,2,0,,,,0,,,0,,,Agree (5),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Agree (5),I do more,Other caregiver,Share equally,I do more,Share equally,Sometimes,,No,Survey fatigue,,,,,,,,,,,
274,18,Woman,White,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,5,Director Epilepsy,2,30,60,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,$5 million,50,"Institutional,Local,Regional,National",,100,"Institutional,Local,Regional,National,International,Other: {levelguestetc}",virtual,Neither Agree or Disagree (4),Agree (5),Agree (5),Agree (5),Very Strongly Disagree (1),Neither Agree or Disagree (4),,,,,,Rarely,none,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,Never,A few times per year,A few times per year,Never,Every day,Never,Never,A few times per month
275,3,Woman,White,Married,Academic Track - Research,,No,,,10,8,8,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,$1.9 million,2,Institutional,,15,"Institutional,Regional,National,International",,Agree (5),Agree (5),Strongly Agree (6),Agree (5),Agree (5),Disagree (3),I do more,I do more,I do more,Share equally,Share equally,Sometimes,Not enough time in the day,Yes,,Sometimes feel rushed,2 Slightly burned out,Never,Never,A few times per week,Once per week,Once per month or less,A few times per week,A few times per month,Never,Every day
276,3,Man,White,Married,Academic Track - Research,,Yes,15,Endowed Chair,9,18,41,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,$28M,10,"Institutional,Local,National",,100,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Disagree (3),,,,,,Rarely,I might have to miss a lecture or a professional meeting.,Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per month,Never,Once per month or less,A few times per month,A few times per year,Every day,Never,Never,A few times per month
277,13,Man,Prefer not to say,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0.5,0,0,,,,0,,,0,,,Agree (5),Agree (5),Disagree (3),Agree (5),Disagree (3),Disagree (3),,,,,,Always,,Yes,,Always feel rushed,2 Slightly burned out,A few times per week,A few times per week,A few times per week,A few times per week,Once per week,Every day,Once per week,Once per week,Every day
278,3,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,1,Director of Neurology Consult Services,0.25,1,0,,,,0,,,3,Institutional,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Strongly Agree (6),,,,,,Never,,Yes,,Almost never feel rushed,2 Slightly burned out,A few times per week,A few times per year,A few times per year,Once per month or less,Never,A few times per week,Never,Never,A few times per week
279,18,Woman,White,Married,Clinician Track (clinical appointment with no academic appointment),,Yes,1,0,2,1,0,,,,0,,,1,Institutional,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Agree (6),Partner does more,Partner does more,I do more,Share equally,Partner does more,Sometimes,Schedule is difficult to balance favoring work related tasks to family. ,Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Never,A few times per month,A few times per month,Once per month or less,Every day,Never,Never,A few times per week
280,18,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,associate program director,0,,0,,,,0,,,2,Institutional,,Strongly Disagree (2),Agree (5),Agree (5),Disagree (3),Neither Agree or Disagree (4),Agree (5),I do more,I do more,I do more,I do more,I do more,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,Once per week,Once per month or less,Once per week,Once per month or less,A few times per year,A few times per week,Once per month or less,Never,A few times per week
